STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS
ARIZONA,4,2021,January,Drought,Z,503
MAINE,23,2021,June,Drought,Z,15
MAINE,23,2021,June,Drought,Z,10
MAINE,23,2021,June,Drought,Z,31
ARIZONA,4,2021,January,Drought,Z,504
COLORADO,8,2021,June,Drought,Z,13
UTAH,49,2021,June,Drought,Z,29
UTAH,49,2021,June,Drought,Z,25
UTAH,49,2021,June,Drought,Z,24
UTAH,49,2021,June,Drought,Z,22
UTAH,49,2021,June,Drought,Z,28
UTAH,49,2021,June,Drought,Z,23
COLORADO,8,2021,June,Drought,Z,14
COLORADO,8,2021,June,Drought,Z,7
COLORADO,8,2021,June,Drought,Z,12
COLORADO,8,2021,June,Drought,Z,20
COLORADO,8,2021,June,Drought,Z,6
COLORADO,8,2021,June,Drought,Z,21
COLORADO,8,2021,June,Drought,Z,11
COLORADO,8,2021,June,Drought,Z,17
COLORADO,8,2021,June,Drought,Z,22
COLORADO,8,2021,June,Drought,Z,19
COLORADO,8,2021,June,Drought,Z,18
COLORADO,8,2021,June,Drought,Z,1
COLORADO,8,2021,June,Drought,Z,23
COLORADO,8,2021,June,Drought,Z,9
COLORADO,8,2021,June,Drought,Z,5
COLORADO,8,2021,June,Drought,Z,10
COLORADO,8,2021,June,Drought,Z,3
COLORADO,8,2021,June,Drought,Z,8
COLORADO,8,2021,June,Drought,Z,4
COLORADO,8,2021,June,Drought,Z,2
IOWA,19,2021,July,Drought,Z,58
IOWA,19,2021,July,Drought,Z,33
COLORADO,8,2021,July,Drought,Z,13
COLORADO,8,2021,July,Drought,Z,2
COLORADO,8,2021,July,Drought,Z,1
UTAH,49,2021,July,Drought,Z,22
UTAH,49,2021,July,Drought,Z,28
UTAH,49,2021,July,Drought,Z,29
UTAH,49,2021,July,Drought,Z,27
UTAH,49,2021,July,Drought,Z,25
COLORADO,8,2021,July,Drought,Z,6
COLORADO,8,2021,July,Drought,Z,7
COLORADO,8,2021,July,Drought,Z,12
COLORADO,8,2021,July,Drought,Z,10
COLORADO,8,2021,July,Drought,Z,23
COLORADO,8,2021,July,Drought,Z,21
COLORADO,8,2021,July,Drought,Z,19
COLORADO,8,2021,July,Drought,Z,18
COLORADO,8,2021,July,Drought,Z,22
COLORADO,8,2021,July,Drought,Z,11
COLORADO,8,2021,July,Drought,Z,17
COLORADO,8,2021,July,Drought,Z,9
COLORADO,8,2021,July,Drought,Z,20
COLORADO,8,2021,July,Drought,Z,14
IOWA,19,2021,July,Drought,Z,46
COLORADO,8,2021,July,Drought,Z,3
COLORADO,8,2021,July,Drought,Z,4
COLORADO,8,2021,July,Drought,Z,8
COLORADO,8,2021,July,Drought,Z,5
UTAH,49,2021,July,Drought,Z,24
UTAH,49,2021,July,Drought,Z,23
IOWA,19,2021,July,Drought,Z,38
IOWA,19,2021,July,Drought,Z,27
IOWA,19,2021,July,Drought,Z,49
IOWA,19,2021,July,Drought,Z,28
IOWA,19,2021,July,Drought,Z,39
IOWA,19,2021,July,Drought,Z,50
IOWA,19,2021,July,Drought,Z,45
IOWA,19,2021,July,Drought,Z,57
IOWA,19,2021,July,Drought,Z,72
ARIZONA,4,2021,January,Drought,Z,506
ARIZONA,4,2021,January,Drought,Z,502
ARIZONA,4,2021,January,Drought,Z,505
ARIZONA,4,2021,January,Drought,Z,507
ARIZONA,4,2021,January,Drought,Z,509
ARIZONA,4,2021,January,Drought,Z,510
ARIZONA,4,2021,January,Drought,Z,508
ARIZONA,4,2021,January,Drought,Z,513
IOWA,19,2021,July,Drought,Z,59
IOWA,19,2021,July,Drought,Z,60
ARIZONA,4,2021,January,Drought,Z,511
ARIZONA,4,2021,January,Drought,Z,512
UTAH,49,2021,June,Drought,Z,27
ARIZONA,4,2021,January,Drought,Z,514
ARIZONA,4,2021,January,Drought,Z,515
GUAM,98,2021,March,Drought,Z,2
GUAM,98,2021,March,Drought,Z,3
TEXAS,48,2021,February,Drought,Z,205
TEXAS,48,2021,February,Drought,Z,228
TEXAS,48,2021,February,Drought,Z,209
TEXAS,48,2021,February,Drought,Z,219
TEXAS,48,2021,February,Drought,Z,187
TEXAS,48,2021,February,Drought,Z,224
TEXAS,48,2021,February,Drought,Z,204
TEXAS,48,2021,February,Drought,Z,218
TEXAS,48,2021,February,Drought,Z,206
TEXAS,48,2021,February,Drought,Z,203
NEBRASKA,31,2021,February,Drought,Z,58
NEBRASKA,31,2021,February,Drought,Z,57
NEBRASKA,31,2021,February,Drought,Z,35
NEBRASKA,31,2021,February,Drought,Z,22
NEBRASKA,31,2021,February,Drought,Z,4
NEBRASKA,31,2021,February,Drought,Z,69
NEBRASKA,31,2021,February,Drought,Z,56
NEBRASKA,31,2021,February,Drought,Z,23
