STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
ALABAMA,1,2019,September,Drought
ALABAMA,1,2019,September,Drought
FLORIDA,12,2019,September,Drought
FLORIDA,12,2019,September,Drought
COLORADO,8,2019,March,Drought
COLORADO,8,2019,March,Drought
COLORADO,8,2019,March,Drought
COLORADO,8,2019,March,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
UTAH,49,2019,March,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
HAWAII,15,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
COLORADO,8,2019,January,Drought
UTAH,49,2019,January,Drought
UTAH,49,2019,January,Drought
UTAH,49,2019,January,Drought
UTAH,49,2019,January,Drought
UTAH,49,2019,January,Drought
COLORADO,8,2019,February,Drought
TEXAS,48,2019,March,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
UTAH,49,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
COLORADO,8,2019,February,Drought
UTAH,49,2019,January,Drought
FLORIDA,12,2019,January,Drought
FLORIDA,12,2019,January,Drought
HAWAII,15,2019,January,Drought
NEW MEXICO,35,2019,January,Drought
FLORIDA,12,2019,January,Drought
NEW MEXICO,35,2019,April,Drought
HAWAII,15,2019,February,Drought
HAWAII,15,2019,February,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
HAWAII,15,2019,April,Drought
HAWAII,15,2019,April,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
NEW MEXICO,35,2019,April,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
HAWAII,15,2019,June,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
HAWAII,15,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
HAWAII,15,2019,June,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
HAWAII,15,2019,June,Drought
HAWAII,15,2019,June,Drought
HAWAII,15,2019,June,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,March,Drought
NEW MEXICO,35,2019,March,Drought
TEXAS,48,2019,March,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
HAWAII,15,2019,April,Drought
TEXAS,48,2019,April,Drought
TEXAS,48,2019,April,Drought
NEW MEXICO,35,2019,May,Drought
TEXAS,48,2019,July,Drought
TEXAS,48,2019,July,Drought
ALABAMA,1,2019,July,Drought
HAWAII,15,2019,May,Drought
HAWAII,15,2019,May,Drought
HAWAII,15,2019,May,Drought
HAWAII,15,2019,May,Drought
NEW MEXICO,35,2019,May,Drought
NEW MEXICO,35,2019,May,Drought
NEW MEXICO,35,2019,May,Drought
COLORADO,8,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
NEW MEXICO,35,2019,February,Drought
VIRGINIA,51,2019,October,Drought
VIRGINIA,51,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
VIRGINIA,51,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
GEORGIA,13,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
GEORGIA,13,2019,October,Drought
WEST VIRGINIA,54,2019,October,Drought
WEST VIRGINIA,54,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
WEST VIRGINIA,54,2019,October,Drought
WEST VIRGINIA,54,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
ARKANSAS,5,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
VIRGINIA,51,2019,October,Drought
VIRGINIA,51,2019,October,Drought
VIRGINIA,51,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
VIRGINIA,51,2019,October,Drought
VIRGINIA,51,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
VIRGINIA,51,2019,October,Drought
VIRGINIA,51,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
ALABAMA,1,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
TENNESSEE,47,2019,October,Drought
ARKANSAS,5,2019,October,Drought
ALABAMA,1,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
ARKANSAS,5,2019,October,Drought
ARKANSAS,5,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
FLORIDA,12,2019,October,Drought
TEXAS,48,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
KENTUCKY,21,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TENNESSEE,47,2019,September,Drought
TENNESSEE,47,2019,September,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,August,Drought
OKLAHOMA,40,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TENNESSEE,47,2019,September,Drought
TENNESSEE,47,2019,September,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TENNESSEE,47,2019,September,Drought
TENNESSEE,47,2019,September,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
FLORIDA,12,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TENNESSEE,47,2019,September,Drought
TENNESSEE,47,2019,September,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,August,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,October,Drought
GEORGIA,13,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
HAWAII,15,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
NEW MEXICO,35,2019,October,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
GEORGIA,13,2019,September,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
TEXAS,48,2019,October,Drought
LOUISIANA,22,2019,October,Drought
LOUISIANA,22,2019,October,Drought
LOUISIANA,22,2019,October,Drought
