BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
202011,1,0,202011,COLORADO,8,2020,November,Drought
202011,1,0,202011,COLORADO,8,2020,November,Drought
202011,1,0,202011,COLORADO,8,2020,November,Drought
202011,1,0,202011,COLORADO,8,2020,November,Drought
202011,1,0,202011,TEXAS,48,2020,November,Drought
202003,1,0,202003,HAWAII,15,2020,March,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,TEXAS,48,2020,September,Drought
202009,22,1200,202009,NEW MEXICO,35,2020,September,Drought
202009,29,1200,202009,TEXAS,48,2020,September,Drought
202009,1,0,202009,TEXAS,48,2020,September,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,TEXAS,48,2020,September,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,NEW MEXICO,35,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,GUAM,98,2020,September,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202009,8,0,202009,IOWA,19,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202009,15,0,202009,MINNESOTA,27,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202009,1,0,202009,UTAH,49,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202008,11,0,202008,UTAH,49,2020,August,Drought
202009,15,0,202009,SOUTH DAKOTA,46,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202009,1,0,202009,COLORADO,8,2020,September,Drought
202008,1,0,202008,COLORADO,8,2020,August,Drought
202007,1,0,202007,COLORADO,8,2020,July,Drought
202007,14,0,202007,KANSAS,20,2020,July,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202008,25,0,202008,SOUTH DAKOTA,46,2020,August,Drought
202009,1,0,202009,SOUTH DAKOTA,46,2020,September,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202008,25,0,202008,IOWA,19,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202009,15,0,202009,SOUTH DAKOTA,46,2020,September,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202007,28,0,202007,SOUTH DAKOTA,46,2020,July,Drought
202008,1,0,202008,SOUTH DAKOTA,46,2020,August,Drought
202009,1,0,202009,SOUTH DAKOTA,46,2020,September,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202008,25,0,202008,IOWA,19,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202009,15,0,202009,SOUTH DAKOTA,46,2020,September,Drought
202008,4,0,202008,IOWA,19,2020,August,Drought
202009,1,0,202009,IOWA,19,2020,September,Drought
202008,18,0,202008,NEBRASKA,31,2020,August,Drought
202009,8,0,202009,IOWA,19,2020,September,Drought
202007,28,0,202007,IOWA,19,2020,July,Drought
202008,1,0,202008,IOWA,19,2020,August,Drought
202004,1,0,202004,GUAM,98,2020,April,Drought
202004,1,0,202004,GUAM,98,2020,April,Drought
202004,1,0,202004,GUAM,98,2020,April,Drought
202003,1,0,202003,GUAM,98,2020,March,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202010,1,0,202010,NEW HAMPSHIRE,33,2020,October,Drought
202011,1,0,202011,COLORADO,8,2020,November,Drought
202011,1,0,202011,COLORADO,8,2020,November,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202010,1,0,202010,OKLAHOMA,40,2020,October,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202012,1,0,202012,NEBRASKA,31,2020,December,Drought
202012,1,0,202012,NEBRASKA,31,2020,December,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202012,1,0,202012,NEBRASKA,31,2020,December,Drought
202007,1,0,202007,NEW MEXICO,35,2020,July,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,HAWAII,15,2020,January,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,TEXAS,48,2020,January,Drought
202001,9,800,202001,TEXAS,48,2020,January,Drought
202001,9,800,202001,TEXAS,48,2020,January,Drought
202001,9,800,202001,TEXAS,48,2020,January,Drought
202001,9,800,202001,TEXAS,48,2020,January,Drought
202001,1,0,202001,NEW MEXICO,35,2020,January,Drought
